Month,Label ,Order,Family,Sample_ID,Size,Quantity,Envelope+Staple weight,Bugs+Envelope Weight,Insect_Weight,avg bug size,Dry Weight 1,Drying smaller?,Dry_Weight_Final,Dry_Weight,Lipid Free Weight with envelope,Lipid_Free_Weight,Lipid_Amount,Notes
July,2025-07-14,Lepidoptera,Gelechiidae,Gelechiidae,,59,0.454,0.615,0.161,0.0027,0.516,TRUE,0.515,0.061,0.5045,0.0505,0.1105,added more to envelope
June,NA,Lepedoptera,Gelechiidae,Gelechiidae,,59,0.436,0.618,0.182,0.0031,0.516,TRUE,0.514,0.078,0.5052,0.0692,0.1128,
June,2025-06-22,Ephemeroptera,Caenidae,Caenidae,,210,0.432,0.562,0.13,0.0006,0.524,TRUE,0.524,0.092,0.5188,0.0868,0.0432,
May,2025-05-19,Lepedoptera,Lasiocampidae,Lasiocampidae,,2,0.431,0.825,0.394,0.1970,0.588,TRUE,0.588,0.157,0.5239,0.0929,0.3011,for some bugs that were dried I added their fresh wet weights to their new envelope. 
June,2025-06-22,Lepidoptera,Crambidae,Crambidae<1,<1,41,0.428,0.765,0.337,0.0082,0.57,TRUE,0.568,0.14,0.5287,0.1007,0.2363,
June,2025-06-22,Lepidoptera,Pyralidae,Pyralidae<1,<1,28,0.428,0.781,0.353,0.0126,0.55,TRUE,0.55,0.122,0.5341,0.1061,0.2469,
July,2025-07-14,Trichoptera,Hydroptilidae,Hydroptilidae,,283,0.454,0.646,0.192,0.0007,0.571,TRUE,0.57,0.116,0.5431,0.0891,0.1029,
June,2025-06-22,Lepidoptera,Geometridae,Geometridae<1,<1,33,0.435,0.843,0.408,0.0124,0.576,TRUE,0.576,0.141,0.5549,0.1199,0.2881,
June,2025-06-22,Trichoptera,Limnephilidae,Limnephilidae,,39,0.422,0.986,0.564,0.0145,0.63,TRUE,0.631,0.209,0.6044,0.1824,0.3816,
June,2025-06-22,Ephemeroptera,Heptageniidae,Heptageniidae,,23,0.637,0.739,0.102,0.0044,0.652,TRUE,0.649,0.012,0.6458,0.0088,0.0932,
July,2025-07-14,Lepidoptera,Noctuidae,Noctuidae<1,<1,9,0.671,0.785,0.114,0.0127,0.687,TRUE,0.687,0.016,0.6824,0.0114,0.1026,
July,2025-07-14,Diptera,Brachycera,Brachycera,,62,0.66,0.813,0.153,0.0025,0.695,TRUE,0.695,0.035,0.6878,0.0278,0.1252,added more to envelope
July,2025-07-14,Lepidoptera,Geometridae,Geometridae<1,<1,16,0.671,0.809,0.138,0.0086,0.7,TRUE,0.701,0.03,0.6913,0.0203,0.1177,
June,2025-06-22,Ephemeroptera,Ephemeridae,Ephemeridae,,10,0.669,0.856,0.187,0.0187,0.699,TRUE,0.698,0.029,0.697,0.028,0.159,
July,2025-07-14,Ephemeroptera,Heptageniidae,Heptageniidae,,33,0.68,0.81,0.13,0.0039,0.704,TRUE,0.703,0.023,0.6988,0.0188,0.1112,
July,2025-07-14,Lepidoptera,Cosmopterigidae,Cosmopterigidae,,92,0.675,0.821,0.146,0.0016,0.721,TRUE,0.721,0.046,0.7073,0.0323,0.1137,added more to envelope
June,2025-06-11,Coleoptera,Elateridae,Elateridae,,17,0.426,1.189,0.763,0.0449,0.744,TRUE,0.741,0.315,0.7076,0.2816,0.4814,Used old envelope but is combined 
June,2025-06-22,Diptera,Brachycera,Brachycera,,318,0.667,0.855,0.188,0.0006,0.717,TRUE,0.714,0.047,0.7086,0.0416,0.1464,
July,2025-07-14,Coleoptera,Carabidae,Carabidae>1,>1,4,0.656,0.905,0.249,0.0623,0.744,TRUE,0.743,0.087,0.7188,0.0628,0.1862,
July,2025-07-02,Diptera,Nematocera ,Nematocera ,,309,0.657,0.808,0.151,0.0005,0.726,TRUE,0.725,0.068,0.7189,0.0619,0.0891,
July,2025-07-02,Coleoptera,Heteroceridae,Heteroceridae,,68,0.682,0.815,0.133,0.0020,0.724,TRUE,0.724,0.042,0.7198,0.0378,0.0952,added more to envelope
July,2025-07-14,Coleoptera,Staphylinidae,Staphylinidae,,131,0.665,0.842,0.177,0.0014,0.741,TRUE,0.742,0.077,0.7223,0.0573,0.1197,
July,2025-07-14,Ephemeroptera,Caenidae,Caenidae,,255,0.665,0.799,0.134,0.0005,0.742,TRUE,0.744,0.079,0.7336,0.0686,0.0654,added more to envelope
July,2025-07-25,Lepidoptera,Crambidae,Crambidae>1,>1,16,0.672,0.919,0.247,0.0154,0.754,TRUE,0.753,0.081,0.7344,0.0624,0.1846,
June,2025-06-22,Lepidoptera,Crambidae,Crambidae>1,>1,36,0.651,0.994,0.343,0.0095,0.762,TRUE,0.763,0.112,0.7363,0.0853,0.2577,
June,2025-06-22,Coleoptera,Carabidae,Carabidae<1,<1,41,0.44,1.198,0.758,0.0185,0.81,TRUE,0.81,0.37,0.7382,0.2982,0.4598,
July,2025-07-02,Lepidoptera,Noctuidae,Noctuidae<1,<1,18,0.669,0.948,0.279,0.0155,0.763,TRUE,0.762,0.093,0.7417,0.0727,0.2063,
June,2025-06-11,Lepedoptera,Crambidae,Crambidae>1,>1,24,0.654,1.004,0.35,0.0146,0.774,TRUE,0.774,0.12,0.7457,0.0917,0.2583,
July,2025-07-14,Coleoptera,Carabidae,Carabidae<1,<1,54,0.658,0.922,0.264,0.0049,0.771,TRUE,0.771,0.113,0.7478,0.0898,0.1742,
July,2025-07-02,Lepidoptera,Gelechiidae,Gelechiidae,,70,0.655,0.946,0.291,0.0042,0.779,TRUE,0.78,0.125,0.7546,0.0996,0.1914,
June,2025-06-22,Diptera,Nematocera ,Nematocera ,,499,0.659,0.968,0.309,0.0006,0.798,TRUE,0.796,0.137,0.7821,0.1231,0.1859,
July,2025-07-02,Trichoptera,Limnephilidae,Limnephilidae,,21,0.661,1.065,0.404,0.0192,0.807,TRUE,0.803,0.142,0.7896,0.1286,0.2754,
July,2025-07-02,Lepidoptera,Tortricidae,Tortricidae<1,<1,61,0.653,1.098,0.445,0.0073,0.834,TRUE,0.832,0.179,0.7966,0.1436,0.3014,
June,2025-06-22,Lepidoptera,Lasiocampidae,Lasiocampidae,,4,0.671,1.179,0.508,0.1270,0.816,TRUE,0.82,0.149,0.7979,0.1269,0.3811,
June,2025-06-11,Lepidoptera,Erebidae,Erebidae>1,>1,14,0.661,1.323,0.662,0.0473,0.897,TRUE,0.893,0.232,0.8496,0.1886,0.4734,
July,2025-07-25,Lepidoptera,Erebidae,Erebidae<1,<1,38,0.665,1.327,0.662,0.0174,0.897,TRUE,0.895,0.23,0.8571,0.1921,0.4699,
June,2025-06-22,Lepidoptera,Tortricidae,Tortricidae>1,>1,40,0.659,1.364,0.705,0.0176,0.902,TRUE,0.904,0.245,0.8615,0.2025,0.5025,
June,2025-06-22,Coleoptera,Silphidae,Silphidae,,4,0.432,1.673,1.241,0.3103,0.925,TRUE,0.924,0.492,0.8759,0.4439,0.7971,
May,2025-05-31,Lepedoptera,Noctuidae,Noctuidae>1,>1,6,0.66,1.576,0.916,0.1527,1.045,TRUE,1.045,0.385,0.8818,0.2218,0.6942,
June,2025-06-22,Lepidoptera,Notodontidae,Notodontidae,,8,0.672,1.745,1.073,0.1341,1.1,TRUE,1.092,0.42,0.9274,0.2554,0.8176,
July,2025-07-14,Trichoptera,Phryganeidae,Phryganeidae,,16,0.675,1.49,0.815,0.0509,0.956,TRUE,0.96,0.285,0.9329,0.2579,0.5571,
July,2025-07-02,Ephemeroptera,Ephemeridae,Ephemeridae,,18,0.662,1.497,0.835,0.0464,0.974,TRUE,0.975,0.313,0.9612,0.2992,0.5358,
June,2025-06-22,Lepidoptera,Tortricidae,Tortricidae<1,<1,107,0.66,1.585,0.925,0.0086,1.024,TRUE,1.028,0.368,0.9694,0.3094,0.6156,
June,2025-06-11,Lepidoptera,Lasiocampidae,Lasiocampidae,,7,0.668,1.844,1.176,0.1680,1.163,TRUE,1.163,0.495,0.9854,0.3174,0.8586,
July,2025-07-02,Lepidoptera,Geometridae,Geometridae>1,>1,29,0.662,1.494,0.832,0.0287,1.042,TRUE,1.042,0.38,0.9912,0.3292,0.5028,
June,2025-06-11,Lepidoptera,Geometridae,Geometridae>1,>1,28,0.66,1.698,1.038,0.0371,1.057,TRUE,1.058,0.398,1.0178,0.3578,0.6802,
July,2025-07-02,Coleoptera,Carabidae,Carabidae<1,<1,161,0.663,1.656,0.993,0.0062,1.043,TRUE,1.16,0.497,1.0561,0.3931,0.5999,
June,2025-06-22,Lepidoptera,Geometridae,Geometridae>1,>1,43,0.652,2.085,1.433,0.0333,1.159,TRUE,1.16,0.508,1.0984,0.4464,0.9866,
June,2025-06-11,Coleoptera,Silphidae,Silphidae,,4,0.65,1.894,1.244,0.3110,1.157,TRUE,1.157,0.507,1.1154,0.4654,0.7786,
June,2025-06-22,Trichoptera,Phryganeidae,Phryganeidae,,24,0.657,2.091,1.434,0.0598,1.171,TRUE,1.167,0.51,1.1195,0.4625,0.9715,
June,2025-06-11,Lepidoptera,Noctuidae,Noctuidae>1,>1,16,0.658,2.209,1.551,0.0969,1.237,TRUE,1.24,0.582,1.1301,0.4721,1.0789,
June,2025-06-11,Lepidoptera,Notodontidae,Notodontidae,,15,0.657,2.436,1.779,0.1186,1.345,TRUE,1.345,0.688,1.1522,0.4952,1.2838,
July,2025-07-02,Lepidoptera,Erebidae,Erebidae>1,>1,20,0.657,2.24,1.583,0.0792,1.309,TRUE,1.307,0.65,1.1776,0.5206,1.0624,
June,2025-06-22,Lepidoptera,Noctuidae,Noctuidae>1,>1,22,0.658,2.683,2.025,0.0920,1.339,TRUE,1.342,0.684,1.2116,0.5536,1.4714,
July,2025-07-14,Lepidoptera,Noctuidae,Noctuidae>1,>1,15,0.664,2.526,1.862,0.1241,1.326,TRUE,1.329,0.665,1.266,0.602,1.26,
June,2025-06-22,Lepidoptera,Erebidae,Erebidae>1,>1,13,0.668,2.851,2.183,0.1679,1.472,TRUE,1.472,0.804,1.3057,0.6377,1.5453,
July,2025-07-02,Lepidoptera,Noctuidae,Noctuidae>1,>1,21,0.648,2.921,2.273,0.1082,1.462,TRUE,1.456,0.808,1.3057,0.6577,1.6153,
July,2025-07-14,Coleoptera,Silphidae,Silphidae,,5,0.669,2.456,1.787,0.3574,1.423,TRUE,1.42,0.751,1.3371,0.6681,1.1189,
July,2025-07-25,Lepidoptera,Noctuidae,Noctuidae>1,>1,64,0.663,2.667,2.004,0.0313,1.419,TRUE,1.422,0.759,1.313,0.65,1.354,
July,2025-07-02,Diptera,Brachycera,Brachycera,,382,0.661,0.908,0.247,0.0006,0.772,TRUE,0.773,0.112,0.754,0.093,0.154,
July,2025-07-02,Trichoptera,Leptoceridae,Leptoceridae,,96,0.667,0.943,0.276,0.0029,0.795,TRUE,0.792,0.125,0.78,0.113,0.163,
July,2025-07-02,Lepidoptera,Geometridae,Geometridae<1,<1,44,0.654,0.989,0.335,0.0076,0.816,TRUE,0.82,0.166,0.792,0.138,0.197,
July,2025-07-02,Lepidoptera,Erebidae,Erebidae<1,<1,14,0.658,0.762,0.104,0.0074,0.68,TRUE,0.68,0.022,0.673,0.015,0.089,
July,2025-07-02,Lepidoptera,Tortricidae,Tortricidae>1,>1,30,0.669,1.341,0.672,0.0224,0.934,TRUE,0.931,0.262,0.879,0.21,0.462,
July,2025-07-14,Trichoptera,Leptoceridae,Leptoceridae,,112,0.678,0.852,0.174,0.0016,0.735,TRUE,0.735,0.057,0.73,0.052,0.122,
July,2025-07-02,Trichoptera,Phryganeidae,Phryganeidae,,16,0.669,1.305,0.636,0.0398,0.905,TRUE,0.904,0.235,0.866,0.197,0.439,
July,2025-07-25,Lepidoptera,Crambidae,Crambidae<1,<1,96,0.668,1.052,0.384,0.0040,0.827,TRUE,0.827,0.159,0.79,0.122,0.262,
July,2025-07-14,Lepidoptera,Erebidae,Erebidae<1,<1,16,0.67,0.889,0.219,0.0137,0.736,TRUE,0.736,0.066,0.728,0.058,0.161,
July,2025-07-02,Ephemeroptera,Caenidae,Caenidae,,625,0.658,0.814,0.156,0.0002,0.755,TRUE,0.755,0.097,0.743,0.085,0.071,
July,2025-07-25,Lepidoptera,Erebidae,Erebidae>1,>1,22,0.671,1.974,1.303,0.0592,1.137,TRUE,1.136,0.465,1.063,0.392,0.911,
July,2025-07-02,Coleoptera,Staphylinidae,Staphylinidae,,57,0.662,0.775,0.113,0.0020,0.688,TRUE,0.688,0.026,0.679,0.017,0.096,
July,2025-07-25,Lepidoptera,Tortricidae,Tortricidae<1,<1,50,0.673,1.183,0.51,0.0102,0.873,TRUE,0.871,0.198,0.836,0.163,0.347,
July,2025-07-14,Lepidoptera,Tortricidae,Tortricidae>1,>1,14,0.66,0.907,0.247,0.0176,0.744,TRUE,0.741,0.081,0.717,0.057,0.19,
July,2025-07-14,Diptera,Nematocera ,Nematocera ,,332,0.669,0.772,0.103,0.0003,0.709,TRUE,0.707,0.038,0.701,0.032,0.071,
July,2025-07-14,Lepidoptera,Notodontidae,Notodontidae,,5,0.654,1.261,0.607,0.1214,0.872,TRUE,0.875,0.221,0.807,0.153,0.454,
July,2025-07-14,Coleoptera,Elateridae,Elateridae,,7,0.667,0.956,0.289,0.0413,0.757,TRUE,0.759,0.092,0.746,0.079,0.21,
July,2025-07-14,Lepidoptera,Lasiocampidae,Lasiocampidae,,16,0.671,1.635,0.964,0.0603,1.03,TRUE,1.031,0.36,0.946,0.275,0.689,
July,2025-07-14,Lepidoptera,Pyralidae,Pyralidae>1,>1,9,0.662,0.799,0.137,0.0152,0.69,TRUE,0.69,0.028,0.678,0.016,0.121,
July,2025-07-02,Lepidoptera,Notodontidae ,Notodontidae ,,16,0.662,2.107,1.445,0.0903,1.227,TRUE,1.224,0.562,1.04,0.378,1.067,
July,2025-07-25,Lepidoptera,Pyralidae,Pyralidae<1,<1,13,0.44,0.559,0.119,0.0092,0.471,TRUE,0.472,0.032,0.462,0.022,0.097,
July,2025-07-25,Trichoptera,Limnephilidae ,Limnephilidae ,,18,0.698,0.965,0.267,0.0148,0.783,TRUE,0.784,0.086,0.765,0.067,0.2,
July,2025-07-14,Trichoptera,Helicopsychidae,Helicopsychidae,,338,0.668,1.238,0.57,0.0017,1.05,TRUE,1.051,0.383,0.997,0.329,0.241,
July,2025-07-25,Lepidoptera,Notodontidae,Notodontidae,,13,0.667,1.779,1.112,0.0855,1.101,TRUE,1.105,0.438,0.95,0.283,0.829,
July,2025-07-25,Lepidoptera,Geometridae,Geometridae>1,>1,18,0.66,1.127,0.467,0.0259,0.823,TRUE,0.824,0.164,0.81,0.15,0.317,
July,2025-07-14,Lepidoptera,Crambidae,Crambidae<1,<1,47,0.667,1.009,0.342,0.0073,0.794,TRUE,0.795,0.128,0.747,0.08,0.262,
July,2025-07-14,Lepidoptera,Pyralidae,Pyralidae<1,<1,15,0.666,0.848,0.182,0.0121,0.709,TRUE,0.708,0.042,0.699,0.033,0.149,
July,2025-07-25,Trichoptera,Phryganeidae,Phryganeidae,,16,0.675,1.846,1.171,0.0732,1.048,TRUE,1.048,0.373,0.991,0.316,0.855,
July,2025-07-14,Lepidoptera,Geometridae,Geometridae>1,>1,14,0.672,1.171,0.499,0.0356,0.833,TRUE,0.833,0.161,0.816,0.144,0.355,
July,2025-07-02,Coleoptera,Silphidae,Silphidae,,6,0.671,2.963,2.292,0.3820,1.703,TRUE,1.701,1.03,1.563,0.892,1.4,
July,2025-07-02,Lepidoptera,Crambidae,Crambidae<1,<1,124,0.66,1.553,0.893,0.0072,1.072,TRUE,1.073,0.413,0.943,0.283,0.61,
July,2025-07-14,Ephemeroptera,Ephemeridae,Ephemeridae,,53,0.656,2.165,1.509,0.0285,1.207,TRUE,1.206,0.55,1.181,0.525,0.984,
July,2025-07-02,Lepidoptera,Pyralidae,Pyralidae<1,<1,65,0.435,1.023,0.588,0.0090,0.721,TRUE,0.721,0.286,0.682,0.247,0.341,
July,2025-07-25,Lepidoptera,Geometridae,Geometridae<1,<1,21,0.446,0.651,0.205,0.0098,0.521,TRUE,0.521,0.075,0.508,0.062,0.143,
July,2025-07-14,Lepidoptera,Tortricidae,Tortricidae<1,<1,75,0.668,1.265,0.597,0.0080,0.907,TRUE,0.908,0.24,0.871,0.203,0.394,
July,2025-07-25,Coleoptera,Silphidae,Silphidae,,4,0.682,2.249,1.567,0.3918,1.316,TRUE,1.315,0.633,1.233,0.551,1.016,
July,2025-07-14,Lepidoptera,Crambidae,Crambidae>1,>1,20,0.666,1.065,0.399,0.0200,0.812,TRUE,0.813,0.147,0.782,0.116,0.283,
July,2025-07-25,Coleoptera,Heteroceridae,Heteroceridae,,69,0.455,0.606,0.151,0.0022,0.523,TRUE,0.523,0.068,0.513,0.058,0.093,
July,2025-07-14,Lepidoptera,Erebidae,Erebidae>1,>1,19,0.674,3.057,2.383,0.1254,1.566,TRUE,1.566,0.892,1.406,0.732,1.651,
July,2025-07-02,Lepidoptera,Lasiocampidae,Lasiocampidae,,2,0.443,0.597,0.154,0.0770,0.506,TRUE,0.505,0.062,0.473,0.03,0.124,
July,2025-07-14,Coleoptera,Carabidae,Carabidae>1,>1,3,0.656,0.947,0.291,0.0970,0.743,TRUE,0.75,0.094,0.5391,-0.1169,0.4079,added more to envelope dumby numbers
August ,2025-08-14,Lepidoptera,Noctuidae,Noctuidae>1,>1,12,0.681,1.836,1.155,0.0963,1.069,TRUE,1.069,0.388,1.046,0.365,0.79,
August ,2025-08-04,Coleoptera,Elateridae,Elateridae,,4,0.432,0.704,0.272,0.0680,0.521,TRUE,0.523,0.091,0.514,0.082,0.19,
August ,2025-08-14,Lepidoptera,Crambidae,Crambidae>1,>1,20,0.67,1.09,0.42,0.0210,0.823,TRUE,0.823,0.153,0.804,0.134,0.286,
August ,2025-08-04,Lepidoptera,Erebidae,Erebidae>1,>1,15,0.686,1.31,0.624,0.0416,0.891,TRUE,0.888,0.202,0.871,0.185,0.439,
August ,2025-08-14,Lepidoptera,Noctuidae,Noctuidae<1,<1,10,0.672,1.147,0.475,0.0475,0.811,TRUE,0.81,0.138,0.798,0.126,0.349,
August ,2025-08-14,Lepidoptera,lasiocampidae,lasiocampidae,,3,0.67,0.882,0.212,0.0707,0.747,TRUE,0.744,0.074,0.707,0.037,0.175,
August ,2025-08-04,Lepidoptera,Geometridae,Geometridae>1,>1,10,0.683,0.822,0.139,0.0139,0.714,TRUE,0.714,0.031,0.703,0.02,0.119,
August ,2025-08-04,Lepidoptera,Crambidae,Crambidae>1,>1,11,0.443,0.623,0.18,0.0164,0.508,TRUE,0.508,0.065,0.498,0.055,0.125,
August ,2025-08-14,Lepidoptera,Geometridae,Geometridae>1,>1,7,0.68,0.789,0.109,0.0156,0.701,TRUE,0.701,0.021,0.693,0.013,0.096,
August ,2025-08-04,Trichoptera,Phryganeidae,Phryganeidae,,5,0.678,0.874,0.196,0.0392,0.734,TRUE,0.736,0.058,0.72,0.042,0.154,
August ,2025-08-14,Lepidoptera,Erebidae,Erebidae>1,>1,8,0.683,0.927,0.244,0.0305,0.755,TRUE,0.755,0.072,0.74,0.057,0.187,
August ,2025-08-04,Lepidoptera,Noctuidae,Noctuidae>1,>1,10,0.676,1.874,1.198,0.1198,1.053,TRUE,1.053,0.377,0.1021,-0.5739,1.7719,
August ,2025-08-04,Coleoptera,Silphidae,Silphidae,,1,0.679,0.937,0.258,0.2580,0.774,TRUE,0.775,0.096,0.757,0.078,0.18,
August ,NA,Lepidoptera,Crambidae,Crambidae>1,>1,7,0.658,0.768,0.11,0.0157,0.685,TRUE,0.685,0.027,0.674,0.016,0.094,
August ,2025-08-04,Lepidoptera,Tortricidae,Tortricidae<1,<1,43,0.673,0.808,0.135,0.0031,0.711,TRUE,0.711,0.038,0.69,0.017,0.118,
August ,2025-08-14,Lepidoptera,Tortricidae,Tortricidae<1,<1,24,0.434,0.571,0.137,0.0057,0.479,TRUE,0.478,0.044,0.469,0.035,0.102,added more bugs to envelope
August ,2025-08-04,Lepidoptera,Noctuidae,Noctuidae<1,<1,14,0.693,1.156,0.463,0.0331,0.805,TRUE,0.805,0.112,0.794,0.101,0.362,added more bugs to envelope
August ,2025-08-04,Trichoptera,Limnephilidae ,Limnephilidae ,,14,0.676,1,0.324,0.0231,0.757,TRUE,0.756,0.08,0.745,0.069,0.255,added more bugs to envelope
August ,2025-08-14,diptera,Nematocera ,Nematocera ,,354,0.681,1.583,0.902,0.0025,0.785,TRUE,0.785,0.104,0.775,0.094,0.808,added more bugs to envelope
August ,2025-08-04,Lepidoptera,Notodontidae,Notodontidae,,5,0.672,1.055,0.383,0.0766,0.801,TRUE,0.8,0.128,0.743,0.071,0.312,
August ,2025-08-14,Lepidoptera,Notodontidae,Notodontidae,,2,0.673,1.132,0.459,0.2295,0.843,TRUE,0.843,0.17,0.786,0.113,0.346,added more bugs to envelope
August ,2025-08-04,Trichoptera,Leptoceridae,Leptoceridae,,43,0.712,0.891,0.179,0.0042,0.767,TRUE,0.766,0.054,0.756,0.044,0.135,
August ,2025-08-04,Ephemeroptera,Caenidae,Caenidae,,215,0.695,0.797,0.102,0.0005,0.743,TRUE,0.743,0.048,0.736,0.041,0.061,
August ,2025-08-04,Lepidoptera,Geometridae,Geometridae<1,<1,17,0.676,0.837,0.161,0.0095,0.713,TRUE,0.713,0.037,0.701,0.025,0.136,
August ,2025-08-25,Trichoptera,Phryganeidae,Phryganeidae,,6,0.682,0.786,0.104,0.0173,0.704,TRUE,0.705,0.023,0.693,0.011,0.093,
August ,2025-08-04,Lepidoptera,Crambidae,Crambidae<1,<1,29,0.686,0.857,0.171,0.0059,0.73,TRUE,0.73,0.044,0.716,0.03,0.141,
August ,2025-08-25,Lepidoptera,Crambidae,Crambidae<1,<1,36,0.657,0.803,0.146,0.0041,0.713,TRUE,0.714,0.057,0.696,0.039,0.107,
August ,2025-08-01,Lepidoptera,Geometridae,Geometridae>1,>1,7,0.654,0.776,0.122,0.0174,0.737,TRUE,0.737,0.083,0.681,0.027,0.095,
August ,2025-08-25,Lepidoptera,Noctuidae,Noctuidae>1,>1,10,0.668,1.889,1.221,0.1221,1.126,TRUE,1.125,0.457,1.023,0.355,0.866,
Sept,2025-09-07,Lepidoptera,Noctuidae,Noctuidae>1,>1,4,0.676,1.197,0.521,0.1303,0.884,TRUE,0.884,0.208,0.842,0.166,0.355,
Sept,NA,Trichoptera,Limnephilidae ,Limnephilidae ,,12,0.666,0.846,0.18,0.0150,0.743,TRUE,0.741,0.075,0.724,0.058,0.122,
Sept,2025-09-17,Lepidoptera,Noctuidae,Noctuidae>1,>1,12,0.651,1.753,1.102,0.0918,1.177,TRUE,1.177,0.526,1.063,0.412,0.69,
Sept,NA,Lepidoptera,Tortricidae,Tortricidae,,37,0.663,0.807,0.144,0.0039,0.74,TRUE,0.74,0.077,0.724,0.061,0.083,
Sept,2025-09-17,Lepidoptera,Erebidae,Erebidae,,3,0.664,1.446,0.782,0.2607,0.991,TRUE,0.99,0.326,0.968,0.304,0.478,
July,2025-07-02,Coleoptera,Carabidae,Carabidae<1,<1,161,0.663,1.656,0.993,0.0062,1.15,TRUE,1.149,0.486,1,0.337,0.656,numby numebrs
August ,2025-08-04,Lepidoptera,Erebidae,Erebidae<1,<1,19,0.688,0.899,0.211,0.0111,0.742,TRUE,0.741,0.053,0.723,0.035,0.176,
